source,target,transformed_treat_score,rank,is_known_positive,off_label
CHEBI:85966,MONDO:0005212,3.158836373738512,14595074.0,False,False
CHEBI:48273,MONDO:0009759,3.1554752721421204,14965557.0,False,False
CHEBI:43755,MONDO:0009759,3.160631499500096,14400846.0,False,False
CHEBI:6709,MONDO:0005212,3.068520955417915,27989603.0,False,False
CHEBI:145499,MONDO:0013582,3.093900550239663,23484834.0,False,False
CHEBI:64354,MONDO:0006058,3.157957337826707,14691270.0,False,False
CHEBI:3219,MONDO:0013582,3.068061559515776,28075471.0,False,False
CHEBI:35677,MONDO:0005212,3.1614358835735574,14314762.0,False,False
CHEBI:3347,MONDO:0000141,3.0969782648194513,22977435.0,False,False
CHEBI:17650,MONDO:0009759,3.0976142742261867,22873502.0,False,False
CHEBI:7789,MONDO:0000141,3.155473345868134,14965762.0,False,False
CHEBI:6846,MONDO:0013582,3.0696260385767364,27783618.0,False,False
CHEBI:50169,MONDO:0013582,3.0695654514580575,27794710.0,False,False
DRUGBANK:DB18728,MONDO:0000141,3.0707160325858514,27580717.0,False,False
CHEBI:478164,MONDO:0013582,3.0611381324409557,29386785.0,False,False
CHEBI:144551,MONDO:0005212,3.0617152727898267,29276482.0,False,False
CHEBI:4858,MONDO:0009759,3.0741525139074892,26945940.0,False,False
CHEBI:66899,MONDO:0013582,3.061421781789927,29332461.0,False,False
CHEBI:9150,MONDO:0009759,3.074722025014803,26841685.0,False,False
CHEBI:133013,MONDO:0005212,3.0602718137207723,29552611.0,False,False
CHEBI:8707,MONDO:0009759,3.199385157641358,10781786.0,False,False
UNII:Q6U6J48BWY,MONDO:0005212,3.202223978502497,10556162.0,False,False
UMLS:C4723695,MONDO:0006058,3.202870315127738,10505324.0,False,False
CHEBI:17303,MONDO:0005212,3.203387730504484,10464505.0,False,False
UNII:ROV204583W,MONDO:0000141,3.0608057424783732,29450247.0,False,False
CHEBI:7009,MONDO:0009759,3.20154226138575,10609937.0,False,False
CHEBI:28971,MONDO:0005212,3.199230327365857,10794321.0,False,False
CHEBI:31547,MONDO:0005212,3.200282135982339,10710067.0,False,False
CHEBI:2955,MONDO:0013582,3.060908342938939,29430574.0,False,False
CHEBI:7459,MONDO:0000141,3.0737296617050607,27023446.0,False,False
CHEBI:9434,MONDO:0000141,3.061303138822373,29355248.0,False,False
CHEBI:90865,MONDO:0005212,3.0736861371193562,27031456.0,False,False
CHEBI:135361,MONDO:0000141,3.0594507033391523,29710541.0,False,False
CHEBI:4681,MONDO:0009759,3.20119969773451,10636816.0,False,False
CHEBI:85010,MONDO:0009759,3.060837190247767,29444086.0,False,False
CHEBI:74460,MONDO:0009759,3.0587114504711237,29852012.0,False,False
UNII:LMQ24G57E9,MONDO:0005212,3.073745566973997,27020604.0,False,False
UNII:K2J09EMJ52,MONDO:0013582,3.074178618737712,26941240.0,False,False
CHEBI:59269,MONDO:0006058,3.0725552443984543,27239625.0,False,False
CHEBI:6375,MONDO:0000141,3.061238585299534,29367521.0,False,False
UNII:8G388563M7,MONDO:0013582,3.0730489293656005,27148687.0,False,False
CHEBI:134726,MONDO:0009759,3.0726092751118874,27229756.0,False,False
UNII:RE0V0T1ES0,MONDO:0000141,3.0589461273290377,29806899.0,False,False
CHEBI:4672,MONDO:0013582,3.060161460981218,29573947.0,False,False
PUBCHEM.COMPOUND:156963654,MONDO:0013582,3.058958081179079,29804647.0,False,False
CHEBI:28445,MONDO:0013582,3.1978653700242905,10904499.0,False,False
CHEBI:8890,MONDO:0000141,3.059173269704906,29763551.0,False,False
